"id","codigo_barra","nombre","categoria","subcategoria","precio","descripcion","imagen","oferta","nuevo","mas_vendido","marca","unidad_medida","stock","estado"
,77300843,"CIGARROS FIESTA GRANDE 20U","TABACO",,"220.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,77301048,"CIGARROS MARLBORO CHICO 10U","TABACO",,"120.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,77300812,"CIGARROS MARLBORO GRANDE 20U","TABACO",,"230.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","si",,,,
,77312891,"CIGARROS NEVADA 10 UN","TABACO",,"115.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,77312938,"CIGARROS NEVADA BOX 20 UN","TABACO",,"220.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,77311337,"CIGARROS VISTA CHICO 10U","TABACO",,"120.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,77311320,"CIGARROS VISTA GRANDE 20U","TABACO",,"230.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/tabaco.png","no","no","no",,,,
,7730197242961,"COCA COCA S/LIGHT 1.5L","BEBIDAS SIN ALCOHOL",,"150.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197003227,"COCA COLA 250ML","BEBIDAS SIN ALCOHOL",,"35.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197000806,"COCA COLA ORIGINAL 1 ","BEBIDAS SIN ALCOHOL",,"95.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197005887,"COCA COLA S/ ORIGINAL 3L","BEBIDAS SIN ALCOHOL",,"225.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730197005887.jpg","no","no","no",,,,
,7730197010935,"COCA COLA S/AZUCAR 1.5L","BEBIDAS SIN ALCOHOL",,"150.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197011000,"COCA COLA S/AZUCAR 1L","BEBIDAS SIN ALCOHOL",,"95.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197010959,"COCA COLA S/AZUCAR 2.25L","BEBIDAS SIN ALCOHOL",,"185.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197010942,"COCA COLA S/AZUCAR 2L","BEBIDAS SIN ALCOHOL",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197007713,"COCA COLA S/AZUCAR 3L","BEBIDAS SIN ALCOHOL",,"225.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730197007713.jpg","no","no","no",,,,
,7730197010973,"COCA COLA S/AZUCAR 3LT","BEBIDAS SIN ALCOHOL",,"225.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197003661,"COCA COLA S/LIGHT 2L","BEBIDAS SIN ALCOHOL",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197005894,"COCA COLA S/LIGHT 3L","BEBIDAS SIN ALCOHOL",,"225.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197000622,"COCA COLA S/LIGHT 600ML","BEBIDAS SIN ALCOHOL",,"70.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197232962,"COCA COLA S/ORIGINAL 1.5L","BEBIDAS SIN ALCOHOL",,"150.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730197232962.jpg","no","no","no",,,,
,7730197112967,"COCA COLA S/ORIGINAL 2.25L","BEBIDAS SIN ALCOHOL",,"185.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730197001377,"COCA COLA S/ORIGINAL 2L","BEBIDAS SIN ALCOHOL",,"135.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7730197001377.jpg","no","no","no",,,,
,7730197301958,"COCA COLA S/ORIGINAL 600ML","BEBIDAS SIN ALCOHOL",,"70.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105024108,"COLET 1L","LACTEOS",,"120.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,75032814,"CORONA","BEBIDAS ALCOHOLICAS",,"110.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","si","no",,,,
,7792798003709,"CORONA","BEBIDAS ALCOHOLICAS",,"110.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/7792798003709.jpg","no","si","no",,,,
,7792798003716,"CORONA DE 710","BEBIDAS ALCOHOLICAS",,"220.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,52,"CROQUETA DE ARROZ","ROTISERIA",,"35.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,9898989898989,"CROQUETAS DE PAPA","ROTISERIA",,"45.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,17,"DAMBO CAPROLET","FIAMBRERIA",,"500.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7802000016820,"DORITO 250GR X 12 UY","SNACKS/DULCES",,"240.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","si","no",,,,
,7802000016813,"DORITOS QUESO 150GX14 UY","SNACKS/DULCES",,"190.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7802000016806,"DORITOS QUESO 92GX17 EXP UY","SNACKS/DULCES",,"140.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,89565236587412,"EMPANADA DE CARNE/JAMONQUE 55","ROTISERIA",,"55.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798119220183,"ENERG. SPEED UNLIMITED 473ML","BEBIDAS SIN ALCOHOL",,"115.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,70847027102,"ENERGIZANTE MONSTER 473 (6)","BEBIDAS SIN ALCOHOL",,"115.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,444444444,"ENVASE 25","OTROS",,"25.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7790290101602,"FERNET","BEBIDAS ALCOHOLICAS",,"695.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730221000222,"GALL. LA TRIGUEÑA MALTEADA 500G","ALMACEN",,"160.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,14747474747,"GALLETA CAMPAÑA","ALMACEN",,"30.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","si","si",,,,
,7730303011078,"GALLETAS FELICITAS S/VAINILLA 400G P.BALL","ALMACEN",,"137.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730210000271,"GRAPPAMIEL VESUBIO PETACA77302","BEBIDAS ALCOHOLICAS",,"110.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798183770065,"GRIDO TENTACION DDL GRANIZADO","ALMACEN",,"305.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798183770072,"GRIDO TENTACION MARSCARPONE","OTROS",,"305.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730138000599,"HAMBURGUESA SCHNECK X 2 UNID.","ALMACEN",,"95.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730138000575,"HAMBURGUESAS BURGY X 3","ALMACEN",,"40.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7798183770416,"HELADO GRIDO BOMBON SUIZO 13G","ALMACEN",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7713042264042,"HIELO","OTROS",,"95.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,369,"HUEVOS","OTROS",,"11.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730452004549,"IPA","BEBIDAS ALCOHOLICAS",,"130.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,4067700014559,"JAGERMEIFTER","BEBIDAS ALCOHOLICAS",,1025,,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7891149201006,"LATA CERVEZA SKOLL 500ML","BEBIDAS ALCOHOLICAS",,"55.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105813399,"LECHE BLANCANUBE DESC UP 1L","LACTEOS",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105813405,"LECHE BLANCANUBE ENT UP 1L","LACTEOS",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,614143668777,"LECHE CAPROLET DESCREMADA 1L","LACTEOS",,"45.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,614143668760,"LECHE CAPROLET ENTERA 1L","LACTEOS",,"45.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105014055,"LECHE CHOCOLATADA COLET 250ML","LACTEOS",,"47.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105014109,"LECHE CHOCOLATADA LACTOLATE 1L","FRUTAS/VERDURAS",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730966510789,"LECHE CHOCOLATADA PARMALAT 1L","LACTEOS",,"75.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105000461,"LECHE DESCREM. DESL CONAP 1L","LACTEOS",,"87.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105001284,"LECHE DESCREMADA CONAPROLE 1LT","LACTEOS",,"45.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730105001109,"LECHE ENTERA CONAPROLE 1LT","LACTEOS",,"45.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
,7730966510765,"LECHE ULTRA PARMALAT 1 LT. S/F","LACTEOS",,"45.0",,"/home/tino/Proyectos/liamya-main/app/backend/data/imagenes_productos/no-image.png","no","no","no",,,,
